,Text,Label
50,"@jf_8o @DimaSadek انتقدته فقاموا عليها
يقولون هو ليس مشارك مع الاحزاب اللي ضيعت البلد بالوقت اللي هو اصل البلا كله",1
51,@DimaSadek صباطو اشرف منك ���,0
52,"@DimaSadek عقبال ما يتعبط فيكي قد هيدا على مية مرة و يجعلكك و ما تعرفي راسك من كعب إجريكي
#ديما_الواطية",0
53,@Linalina961 @DimaSadek السيد حسن نصرالله يا حقيرة,0
54,"@lamatweetsback @dimasadekwateye @DimaSadek و انتي وقحة و وحقيرة و بتسوي صرماية لو مش عارفة هيدا زوجها للواطية
فكرتك عالم طلعتي طرطورة",0
55,@DimaSadek انشالله بيقبر قلبك قريبا,0
56,"@joey_gs__ @DimaSadek ما خص امها ، نحنا الشعب المحترم مش متلها 
هيي كل شي ممنوع بس عالتيار وحزب الله مسموح ومكتر 
فشرت نكون متلها��‍♀️",1
57,@DimaSadek صحيح انك #ديما_الواطية,0
58,@DimaSadek @AhmadBallout15 الله يلعنك بلا شرف,0
59,@NicoleHajal @LbciLebanon @DimaSadek الله يرحم البطن يلي حملك,1
60,"@berrynawal سلامة قلبك 
كللن يعني كللن و انتِ اشرف منن...
مبارح @AkikiJoyce  و اليوم انتِ لأنكن اقوى من ايا شي❤… https://t.co/5x3sWBCon6",1
61,"@DimaSadek حدا يبهدلها عني أنا اكتفيت .. حأستفرغ من وجودي على صفحتها 
#ديما_الواطية",0
62,@m_altahan @NadimKoteich @DimaSadek كتير منيح، صارو يعرفو الناس القوادم ليش في ناس عمتسب فيها للآدمية... فعلا أذكياء... ���,1
63,@DimaSadek معليه روحي عند يلي بيشبهوكي مين مانعك ، اسرائيل و امريكا فاتحة احضانها لامثالك روحي لعندهم ، و اذا بدك ب… https://t.co/MJWQZZzr8Q,1
64,@DimaSadek انزلي انت والكلب جوزك والكلاب الصغار اللي عندك بالبيت حاج تضحي بولاد العالم #ديما_الواطية,0
65,@berrynawal طبشوكي الصباط على عينك بتعرفي ليشششش؟؟؟؟ عشان شفتي النمرة ��,0
66,@timakanso @alexi_naser @DimaSadek الفيديو صحيح، وكتير غلط اللي انعمل، ديما ما صدقت شافت شي وصارت متل النور ع الكبة,1
67,"@DimaSadek انت قدن كلن واشرف واصدق منهم.
ديما كلنا منحبك .",1
68,@DimaSadek وانت تركي السفارات,1
69,@DimaSadek رح تموتي قد مافي جواتك سم,0
70,@Jessicaazar بشكر الله إلي جيلي ما كان واعي ع هيك فخامة.,1
71,"@DimaSadek نصرالله تاج راسنا والشمس طالعة رالناس قاشعة مين هو الفاسد مش ناطر وحدة فاسدة ومرتزقة مثلك تنعتوا بالفساد
 وحدة غبية روحي انضبي",0
72,@DimaSadek السيد اشرف رجل في العالم كلو اما الباقيين ماخصني فيهم شيلو السيد من هالمعادلة,1
73,@GJKLMN557 @KaramRachel @DimaSadek كلك زوق,1
74,"@Rana40752360 @khalil_f8585 @PinkAsteroyd @DimaSadek #ديما_الوضيعة
#ديما_الساروت 
#ديما_الكذابة",0
75,@DimaSadek الساعات الاخيرة لامثاليك ... ولله ليوصل عواكي لقبرص,0
76,@DimaSadek صديقت الفاسدين,0
77,"@sayegh_georges @DimaSadek ديما شعرها حلو 
���",1
78,"RT @MaharatNews: النساء اللبنانيات في الساحات الامامية فعلا، وأقل في الساحات الافتراضية
للاطلاع على المزيد من الاحصائيات https://t.co/L6w8B…",1
79,@berrynawal خلص سكتي بلا هبل,0
80,@DimaSadek يبدو أن الجوع سيطر عليك الصحيفة وليس الصفيحة,1
81,@yumnafawaz يا م نص لسان حاجي تبثي الفتن,0
82,"@DimaSadek روحي انضبي يا كركمي
تفو عليكي و على اخلاقك",0
83,@yumnafawaz ايه اكيد بدو يحكي عن النازحين لان هيدي وحدي من المشاكل. بشرفك قليلي قديش دفعينلك لتحكي هل حكي و و حياااة الله ما بخبر حداا�,1
84,@yumnafawaz ما ابشعك وما اسخفك,0
85,@yumnafawaz @Alii_Wehbi يا مشحر شو بهايم ولي هول يا هبلة مخابرات جيش هيدي بقلب السرايا مصورينة لقوي تسوقولا لهل فتنة خافو الله,0
86,"RT @yumnafawaz: بشرفكن شباب فينا نوقف مسبات المتعلقة بالنساء والأمهات! يعني قي الف مسبة تانية!
#لبنان_ينتفض https://t.co/RYyn85nHql",1
87,@berrynawal @NadimKoteich  افهم يا بلا فهم,1
88,"نحنا معك لانك صوت حر و بتمثلينا
ديما صادق انسانة حرة وبتقول كلمة الحق تزعل زعران السلطة الحاكمة 
#كلنا_ديما_صادق   @DimaSadek",1
89,@DimaSadek انت حثالة من بلادي �,0
90,@miriam_shahine @DimaSadek عادي ولو خليها عم تعوي  �,0
91,@yumnafawaz حبيبتي # مبارح جنيت وانا عم بحضرك الله يحميكي شكرا.,1
92,"@DimaSadek إذا أردت اكتشاف عقل شخص .. فـ أنظر إليه كيف يحاور من يخالفه الرأي .

 #برنارد_شو

#كلنا_ديما_صادق",1
93,@DimaSadek أي حكومة وأي شعب... سماحة السيد اسمو يا محترمة...,1
94,@DimaSadek انسانة تافهة ولطالما كنت بوق للفتن,0
95,"RT @SawsanSawma: @DimaSadek المجد لاقفال تمك�

#بالشمع_الحمر",0
96,RT @ShabakjiZeinab: @DimaSadek اجر السيد حسن اشرف من راسك.. والحزب بطولو وعرضو مش حيبعت حمودي وعلوشي ليمدحوا السيد بس اذا بدك ببعتلك انا شب…,0
97,@NicoleHajal ايه خلي الشباب الطيبة المهذبة المشاغبة يفتحلون الطرقات وإلا رح يضطروا يعتصموا بالمطار,1
98,"@DimaSadek ساليلي اهلك شو عم بقولوا ثوارك .. عم يهتفوا لصاحبك الحريري 
العما ما اهبلك",0
99,@DimaSadek يا غبية قال لن نقبل باسقاط العهد ولا نؤيد استقالة الحكومة وعادا لحتى امثالك الاغبية يفهموا يا بهيمة بس طلعتي اغبى من الغبي ��,0
100,@yumnafawaz @saadhariri على ما يبدو إنو توقعاتك زي توقعات ليلى عبد اللطيف,1
101,@DimaSadek @yumnafawaz معقول نزلتو تصورتو وفليتو دغري,1
102,@yumnafawaz اين حرية الرأي؟؟؟ كيف بتهيني الناس وتسميهن غنم؟,1
103,@meedamine10 @DimaSadek اللي بدق الباب بدو يسمع الجواب،،، رحم الله امرء عرف حده فوقف عنده,1
104,@zTeBUwQfuLXDaCO @KSaghieh @DimaSadek هذا أقلية لا تمثل ، لكن من يريد ان يكون فوق الانتقاد عليه ان يقف بمكان الشبهة… https://t.co/nYVl9m0Qnh,1
105,"#ديما_الواطية 
#ديما_الواطية 
#ديما_الواطية 
#ديما_الواطية 
#ديما_الواطية 
#ديما_الواطية 
#ديما_الواطية… https://t.co/icoHoqv5CI",0
106,@berrynawal يا نوال يا نوال خبريني شو كان لون كلساتهم لما صار هالحديث بما انك كنت موجودة,1
107,@Jessicaazar مش هيدي يلي سقطت بالانتخابات�,1
108,@MTVLebanonNews @aliimortada @DimaSadek @HichamHaddad57 @PaulaYacoubian بري وجبران قعدو سنه يتخانقو على النفط . كل… https://t.co/Im8uCIr9po,1
109,@yumnafawaz يا بنت الحرام في طرابلس حصل إطلاق نار من اجل ازالة صورة وفي جل الديب حصل نفس الأمر يعني سر السبب لتركيزك على النبطية يا صرمة,0
110,@DimaSadek اهم شي يقبر قلبك ويقبرك بالطريق,0
111,"RT @AHMAD_SD0: @DimaSadek كذابة 
#ديما_الواطية #ديماالكذابة #ديما_الحقيرة",0
112,@abouelnouboul @DimaSadek تكبييييير ... كل ما صار شي بهالبلد عملتولي فيها مكشوفه ومكشوفه .. شو الناس عم تنام وتقوم… https://t.co/NaUuvZkrPQ,1
113,نانسي السبع : أعداد المتظاهرين تتزايد في ساحة رياض الصلح بعد خطاب السيد �� https://t.co/jdhPzyc5KE,1
114,@DimaSadek سقط الرئيس الحريري يا هبلة,0
115,@DimaSadek مدام ديما اذا ممكن تسألي شي خبير اقتصادي مدى قانونية الهندسة المالية التي قام بها حاكم مصرف لبنان لتربيح… https://t.co/QflCTo09K7,1
116,@berrynawal الله يحشرك معو يا رب,1
117,@DimaSadek ��� يعني انتي وهل كم اهبل اكتشفت البارود ليش وين في جيش بلبنان المحرر غير جيش لبناني يا هبلة,0
118,@DimaSadek انت معروفة شو انت ومن يوم يومك ممسحة على درج السراي فشرتي إذا بتوصلي لكعب صباط السيد لا انت ولا معلمينك,0
119,@yumnafawaz يمنى تفضلي على ساحة الشهداء، من هون ما عمنشوف إلا لبنان الجديد بلا الوجوه القديمه، منظر بطير العقل,1
120,@DimaSadek ما في احقر منك يا عميلة #ديما_الواطية,0
121,@DimaSadek ديما صادق احذروها هي ناقوس فتنوي في مشروع مشبوه وبوق اعلامي مأجور انها قرن شيطان احذروها.,0
122,"@yumnafawaz والله طلعتي درجة
من ربع لسان 
لَ نص لسان 
بهنيكي انا و حابب اتعّرف عليكي دروري",0
123,@DimaSadek @KhotyarK من اليوم انتِ حُرّة,1
124,@DimaSadek سكري بوزك يا عاهره,0
125,"@DimaSadek  إنتِ أشرَف منن كلن ومن أخلاقن..
#كلنا_ديما_صادق",1
126,@DimaSadek #كلنا_ديما_صادق #كلن_يعني_كلن الله يقويكي,1
127,@DimaSadek يا حنونه بتخافه عليهن والله لستحو ماتو,1
128,@jemnina_1 ما هي الرسالة التي توجه؟ سخافة متل سخافة @DimaSadek,0
129,RT @abir_zgheib: @DimaSadek سدي نيعك يا واطية,0
130,@DimaSadek يازعرا انت ههههههه,0
131,"اخرسي يا نانسي السبع  و خليك بمهنتك الإعلامية و استمعي لكل الآراء و لا تفرضي آراءك على الضيوف و على المداخلات 
هذا… https://t.co/GEHS4gNWEC",0
132,@DimaSadek والله ما فيه اقوى منك، الله يحميكي,1
133,@DimaSadek @yumnafawaz صدقنا انك نزلتي.. ليه ما بقيتي #ديما_الواطية,0
134,@DimaSadek شو قصتك مع المقاومة لو عنجد بتحبي لبنان روحي شوفي عملاء اسرائيل واكشفي المستور من جماعة جميل وجعجع ومن لف لفيفهم ....,1
135,@yumnafawaz المهم زبدة الكلام ع ريت ستي,1
136,@DimaSadek صايرة كذابة وموتورة,0
137,@yumnafawaz الانتقاد بل السياسة حق بس احترام الكبير واجب,1
138,"#كلنا_جويل ❤️
@joellebouyounes https://t.co/cpH67eDoBq",1
139,"@DimaSadek هني الواطيين حثالة المجتمع 
ما تهكلي للهم",1
140,@DimaSadek يا حيوانة ليش مين بعبدا و مين الضاحية,0
141,@richany_maria @DimaSadek بليز اسكتي من دون ما تلعي نفسنا اكتر من هيك، باسيل و عمو هني الفساد بحد ذاتو,1
142,@DimaSadek اديش عم تاخدي عا كل تويت لتبيني هبلععععع,0
143,@DimaSadek شدي براغي حنكك طول عمرك واطية وعميلة #ديما_الوطية,0
144,@DimaSadek #ديما_الواطية قريبا حنزورك عبيتك بالروشة,0
145,@DimaSadek يا حمارة العلم لي عم تسألي عنو مرفوع بالعالي ورح يضل مرفوع بالعالي بس للأسف إنتي واطية كتير مش قادرة تشو… https://t.co/u0hSpk3M7T,0
146,@DimaSadek ديما هلقد الإصبع عم يعمل فيكي صدقيني ما في داعي تفزعي من شي بس كوني صادقة الكل بيحترمك,1
147,@yumnafawaz @lara_msaed رمز الفتنة رتش روحي انضبي,0
148,شجاعة وصادقة في موقفها @DimaSadek تحية لك https://t.co/n19NIPgxvi,1
149,@DimaSadek ست ديما ، الإستقالة لوحدها ما بتكفّي ، بعدها ناقصة ، قوليلهن يمشوا للآخر . يسعد صباحك . �,1
150,"@DimaSadek الله يحميكن
ثورة ضد الظلم و الفساد
احنا اهل اليمن قلوبنا معكن

تحياتي الك ديما صادق
و تحية ✋ لكل المشاركين بالمضاهرات",1
151,@berrynawal كامل احترامي لكي آنسة نوال الله يعطيكم العافية بتبيضوا الوجه و بترفعوا الرأس بحرفيتكن بالتغطية الله يحميكم,1
152,"@sarahhosseinii1 @DimaSadek عفكرة هي ما بتغرّد متل باقي الناس
#بتشنهق �",0
153,@NicoleHajal @DimaSadek شو حضارية انت !!,1
154,RT @HabibHusseinAy1: @DimaSadek يا واطية سألي دريان لمش دريان الله وين حاطو وقت وصل الملف على القضاء طلع قال السنيورة خط احمر ورمز من رموز…,0
155,@DimaSadek نفايات الكترونية و انت وحدة منن,0
156,"@DimaSadek ما بدك تشوفي، وفشر انو يسقطوا
#ديما_الواطية https://t.co/Tv9MnV4CFY",0
157,@yumnafawaz شو يا هبيلة وين استقالة الحكومي يلا خدي � و نامي,0
158,"@yumnafawaz طلعتي مسترزقة 
ومعاشك من فوايد القرض من مصرف لبنان",1
159,@DimaSadek عم بتشرعي حمل السلاح يا حمارة,0
160,@yumnafawaz ماذا عن هضامتك,1
161,@yumnafawaz يا يمنى يعني من الباب للطاقة صارة القصة ؟,1
162,"@yumnafawaz اي ورقة اقتصادية بتقدمت  هيدي الطبقة ما الا معنى وعود كذابة من  سنة ١٩٩٠
اول حل انو  يفلو وبعدين  منحكي بوراق",1
163,@Jessicaazar انت متل هيدا الأزعر اللي مسكر الطريق  و كان من قبل خوات و بطل خوات و صار هلق لبناني...حرباية,0
164,@DimaSadek الوثائق اصبحت عند القضاء تفضلي إسألي القضاء,1
165,@yumnafawaz بهيدي الطريقة بتحكي مع بيك لرباكي ونعم التربية اذا كان بتعرفي مين الظاهر من حديثك بلا اهل,1
166,@DimaSadek انت اكتر وحدة ما بحقلك تحكي عن الشرف...ما تكوني مفكرة الشرف شي بونبونة...لا عيني..الشرف شي ما خصك في...بس تكبري بتفهمي...,0
167,"لازم كل لبناني بيحب وطنو، يفتخر فيكي من بعد هيك مقدمة
بس للأسف...
@DimaSadek 

Must watch
https://t.co/I01vRPtaIX

 #كلنا_ديما_صادق",1
168,@DimaSadek الله يخديك الهي يا حشره,0
169,@Yosra22920427 @DimaSadek فساد شو ؟!!ما تكون عم تسرق الدولة وتعمل صفقات على حساب الدولة..ما تكون عم تبعت شباب يقوصو… https://t.co/jYLVbYKjSY,1
170,@Fatima73611466 @DimaSadek ليه بعد في يطلع غير ع المنار هل الفاشل ..أكيد بعد هل الثورة رح يدمن على المهدئات,1
171,@DimaSadek ايه ليه ما حدا عم ينقل نبض الثورة طرابلس !!!,1
172,@zna_krm @LBCI_NEWS و قال شو اسمعو عم يهتفو ضد السيد ��‍♀️��‍♀️��‍♀️ الهبلة مش فهماني انو هني ذاتهم الي ضد السيد بع… https://t.co/VQQROMEMMj,0
173,RT @JKatrib: @DimaSadek سدّي بوزِك، بوزِك سديه #ديما_الواطية https://t.co/XFKjD10AGh,0
174,@DimaSadek عالجبانة انشالله بتنزلي دغري و بقبرك,0
175,"بتتذكرو بس ديما صادق كشتو للبوق السوري وئام وهاب؟
من يوما صرت حب @DimaSadek #كلنا_ديما_صادق",1
176,@YassinYassin313 @yumnafawaz عم بطعموها الها بطاطا ولبنه ولغيرها كبه بالكبايه ...وكنافه علي بابا ���,1
177,"@DimaSadek
تلحسي ما تضرسي",0
178,@DimaSadek @LBCI_NEWS بلا قطعاً من اجري بحديثك،هبلة .,0
179,@yumnafawaz شكلك هبله. نحن  طوائف مش بلد يا خالصه,0
180,@yumnafawaz النازحين هي مشكلة من المشاكل يلي عم يواجها لبنان . معك خبر انو في مليونين نازح؟,1
181,@berrynawal منحبك نوال,1
182,@berrynawal الحمد لله ع سلامتك نوال أنت مثال  المرأة الشجاعة الجريئة يعطيك الف عافيه,1
183,@Jessicaazar قناة الثورة التي تعطي صورة رائعة عن لبنان من شماله الى جنوبه,1
184,@DimaSadek ايمتا بدك تصيري بنت عيلة وتبطلي تحكي متل ولاد الشوارع انتقدي بحضارية يا سفيهة,0
185,@RoulaJrady1 @Jessicaazar عم تركب الموجة بحذر شديد.. ذكية جسيكا �,1
186,"@DimaSadek انوا مش وقتها. 
دايماً الوضع حساس و مش وقتها",1
187,"@DimaSadek يعني اسمالله عليك من وين جايبي كل هالذكا. كل خبرية بتتحفينا فيا بدا أينشتاين ليحللا. برافو
��� https://t.co/7osdfXSSYS",1
188,@DimaSadek بحب طمنك جعجع راجع https://t.co/RsTXVWpxvi,1
189,@yumnafawaz عاملة فيها المحقق كونان. خليها طالعة طلعتها. بس مش مطولة القصة ليرجعوا على جحورهم,1
190,@DimaSadek و المقاومة لا تموت عزيزتي ديما...لأنها من صميم الشعب و روحه الثورية.. تحياتي❤,1
191,@yumnafawaz @saadhariri ما شاء الله نبيهة جدا طا شاء الله,1
192,@yumnafawaz @saadhariri أنت اذكى صحافية ....,1
193,@DimaSadek مين حضرتك لتقولي ممنوع هيدا الشي او مسموح هيدا الشي بعدك ما وصلتي لمترح تأ تبلشي تمنعي نعم لحرية الرأي مهما كان الرأي,1
194,"@DimaSadek #ديما_الواطية معلومة قربة لله حرف k بيعني 1000 .
رجعي طلّعي بالأرقام هلأ وخبريني عن شعورك!",0
195,@DimaSadek احتياط سكري نيعك �,0
196,@DimaSadek يا اغشم مخلوقات الله .. يا مسخرة التاريخ .. يا تافهة .. يا فاجرة .. و اكتر بكتير .. سماحة السيد اللي صرم… https://t.co/zhd0VAf446,0
197,@yumnafawaz كتير منيح بكر الحكومة يلي رح يجيبا الشعب رح تاخُدَ بعين الاعتبار الورقة متشككون,1
198,@DimaSadek إنسانة وصولية انتهازية متلك يجب طردها من ساحات الحرية. سوري عا كلمة إنسانة ���� كل عمرك نايمة بأحضان الس… https://t.co/x4lZBJZvSo,0
199,@AbdooYaraa @DimaSadek نقلعة انت وياها العمى بقلبك شو بلا شرف,1
200,@yumnafawaz نطقتي بالحق فهاجموكي,1
201,"@DimaSadek بدي اعرف من وين بتجيبي هضامتك من أي مجرور ؟ 
سم لعم تبخيه عم يطلع فيكي 
ابكي بترتاحي",0
202,@DimaSadek انشالله @KazwiniM بيقبرك و برتاح من قرفك و هبلك ��,0
203,@DimaSadek تلحسي مفكري حالك بتفهمي و الحشا بينك و بين الفهم مسافة ما بتوصليلها,0
204,@DimaSadek العمى بقلبك ما اسخفك...لو في علم الحزب كنت قلتي وين علم لبنان...عنجد انك حاقدة,0
205,@LbciLebanon @DimaSadek احلا ديما صادق,1
206,@yumnafawaz انت عم بتقوليها بس بلسان غيرك والا ما كان في لزوم تحطيها.,1
207,@zTeBUwQfuLXDaCO @KSaghieh @DimaSadek هيدي حجة كل السلطات على مدى كل الثورات و الاحتجاجات ، التهديد بالفراغ ،,1
208,@LayalElAli5 @DimaSadek احلا عالم @DimaSadek لازم تكون وزيرة الثقافه والسياحه❤️,1
209,@DimaSadek يا ريتو تارقك بشي انينه او صرمايه على وجك,0
210,@DimaSadek الله محييكم والله يحميكم,1
211,@DimaSadek بكرا بس تاكل سحسوح على الحواجز الطائفية بتشفى,0
212,@alimouinjaber @DimaSadek اللي بيحط راسو بالتراب وماعنده اي كلام يحكيه عن الفاسدين يكف بلاه عن اللي بيحكي… https://t.co/9WC9e3PXeC,1
213,@yumnafawaz خلي التعليق لحدا بيفهم ، انتي انضبي يا مجوية,0
214,@yumnafawaz إنت شو محلك من الاعراب لحتى تحكي على سيدك وتاج راسك . لعمى بقلبك سكري بوزك وحاجي تحكي,0
215,@DimaSadek واطية عن جد واطية,0
216,@DimaSadek اه والله انك صادقة,1
217,@DimaSadek يعيش حزب الله حالة تخبط غير مسبوقة، على وقع احتجاجات في كل لبنان، لا سيما في البيئة الحاضنة والتي لم تشه… https://t.co/ieDEQgB4Hi,1
218,@yumnafawaz صدقيني ما حدا مقصر بحدا,1
219,@yumnafawaz من شتم.  ومن. اهان. اي. شخص. هو يمثل نفسه فقط. طرابلس. مدينة. العيش المشترك. والاخلاق والروح. الوطنية,1
220,@berrynawal يسلم تمك,1
221,@yumnafawaz بلا ما تفسري مين عم تشرجي التلفون او من اين كل هذه الموائد الشي واضح وكلنا منعرف من اين لكم هذا,1
222,@DimaSadek اجري فيك شو انك حيوانة بس...الحيوان انظف منك.. الهي يفقعك جلطة تاخدك و تريحنا من قرفك. انت الوحيدة اللي بفرح لما سبها.,0
223,RT @Fadak11118481: @DimaSadek حرام بشفق عليكي كنت اسمع انك فاضية عذرا من كلمتي بس ما كنت صدق لان بنظري انه لو خالفني الرأي احدهم ولكن بيبقى…,1
224,"@DimaSadek تافهة منحطة وبايخة 
#لعبي_عقدك",0
225,@HassanRamlawi @DimaSadek الله يحميلك عيلتك,1
226,@DimaSadek منعرف انك معاقة و هلق تاكدنا انك طرشا,0
227,@yumnafawaz @joemaalouftv ما رايحه تكمل فرحتك ابقي تذكريني بعد بكرا,1
228,@REA361291 @DimaSadek وحدة وطنحية(عاملة حالها بتحب الوطن) وزوجها تخلى عن الجنسية اللبنانية. تفه على شرفك وشرفه.,0
229,@DimaSadek لبنان مش سوريا يا غبية,0
230,@DimaSadek موتي بغيظك يامتصهينة �,0
231,@yumnafawaz @rabiazayyat هلق توصيفك لهالورقة نابع عن عصارة فهمك ؟ بس لنعرف عمق تفكير البعض ��‍♂️�,1
232,@DimaSadek @LBCI_NEWS @JeanFeghali المجد والسلام للبنان شعباً وجيشاً ����,1
233,@DimaSadek ههههههه لماذا البكاء ياثوريه يام الاخلاق �,1
234,@DimaSadek @AhmadBallout15 ٧ ايار الجايي لازم يسحبوك من شعرك بلكي بتصيري  تفهمي,0
235,@medhat_gh1 @DimaSadek كل صادق علية الوقوف مع ديماصادق الله يحميهامن سرورهم,1
236,@DimaSadek #الرئيس_القادم_جبران_باسيل غصبن عنك يا شرشوحة,0
237,@berrynawal بتمسحي جوخ منيح ...,1
238,@yumnafawaz اصمتي يا ام نص لسان,0
239,@DimaSadek الله يلعن شرفك وشرف لي علمك . انت وحدي عم تلعبي بي دمك من شان المصاري عم يدفعولك مش شبعاني بعدك . حزب ال… https://t.co/YlE5ONeDMQ,0
240,@yumnafawaz هو لو في بلد وقضاء كان لازم انتي واذاعتك على المحكمة بتهم تحريض واثارة الفتنة في لبنان,1
241,@YazbekWehbe @DimaSadek خرا عليك وعلى @DimaSadek,0
242,@DimaSadek عزيزتي ديما! صرت أعشقك ❤,1
243,@DimaSadek انتي بالذات كلي خرا,0
244,#كلنا_ديما_صادق لأن #نصرالله_واحد_منهن ���بس هيك @DimaSadek,1
245,@HadiiiHammoud @DimaSadek الكلمة المناسبة في المكان المناسب,1
246,@kwack_b @DimaSadek العمى شو جاهلة,0
247,@DimaSadek تيتا ديما يا هلا انتي المثال الأعلى عن اللبنانية يلي بيحكوا بدون ما يفهموا شو عم يحكوا,1
